method,param,param_value,iteration,time,cuts,objectif
PL1,L,3,1,2.294447999,0,56.0
MCTS0_10,L,3,1,0.031905101,0,28.0
MCTS10,L,3,1,0.0204345,0,53.0
MCTS0_20,L,3,1,0.0637865,0,42.0
MCTS20,L,3,1,0.038003199,0,53.0
MCTS0_50,L,3,1,0.141127199,0,45.0
MCTS50,L,3,1,0.056602501,0,56.0
MCTS0_100,L,3,1,0.226222501,0,43.0
MCTS100,L,3,1,0.0968683,0,55.0
MCTS0_200,L,3,1,0.6305333,0,51.0
MCTS200,L,3,1,0.2316659,0,56.0
PL1,L,3,2,0.041702101,0,76.0
MCTS0_10,L,3,2,0.0214047,0,43.0
MCTS10,L,3,2,0.009296499,0,70.0
MCTS0_20,L,3,2,0.0390147,0,42.0
MCTS20,L,3,2,0.0230977,0,70.0
MCTS0_50,L,3,2,0.127799199,0,69.0
MCTS50,L,3,2,0.0585378,0,72.0
MCTS0_100,L,3,2,0.240442201,0,57.0
MCTS100,L,3,2,0.091533801,0,68.0
MCTS0_200,L,3,2,0.444602,0,68.0
MCTS200,L,3,2,0.196203199,0,75.0
PL1,L,3,3,0.0577056,0,69.0
MCTS0_10,L,3,3,0.015576601,0,41.0
MCTS10,L,3,3,0.0129255,0,51.0
MCTS0_20,L,3,3,0.030398099,0,39.0
MCTS20,L,3,3,0.0209605,0,59.0
MCTS0_50,L,3,3,0.103999801,0,47.0
MCTS50,L,3,3,0.043313,0,61.0
MCTS0_100,L,3,3,0.211133,0,52.0
MCTS100,L,3,3,0.0865984,0,62.0
MCTS0_200,L,3,3,0.4831443,0,48.0
MCTS200,L,3,3,0.190902699,0,62.0
PL1,L,3,4,0.0296449,0,53.0
MCTS0_10,L,3,4,0.0211378,0,33.0
MCTS10,L,3,4,0.014533101,0,47.0
MCTS0_20,L,3,4,0.0382743,0,29.0
MCTS20,L,3,4,0.018342101,0,51.0
MCTS0_50,L,3,4,0.0977109,0,39.0
MCTS50,L,3,4,0.0726163,0,51.0
MCTS0_100,L,3,4,0.203039499,0,42.0
MCTS100,L,3,4,0.1451576,0,46.0
MCTS0_200,L,3,4,0.424867301,0,43.0
MCTS200,L,3,4,0.383024501,0,51.0
PL1,L,3,5,0.044258899,0,58.0
MCTS0_10,L,3,5,0.027382799,0,40.0
MCTS10,L,3,5,0.0121191,0,53.0
MCTS0_20,L,3,5,0.0495331,0,40.0
MCTS20,L,3,5,0.0254452,0,43.0
MCTS0_50,L,3,5,0.109681,0,35.0
MCTS50,L,3,5,0.059298899,0,48.0
MCTS0_100,L,3,5,0.270129401,0,45.0
MCTS100,L,3,5,0.139314501,0,53.0
MCTS0_200,L,3,5,0.580530299,0,48.0
MCTS200,L,3,5,0.372389299,0,55.0
PL1,L,4,1,0.0805594,0,56.0
MCTS0_10,L,4,1,0.0262254,0,29.0
MCTS10,L,4,1,0.019560299,0,46.0
MCTS0_20,L,4,1,0.052327699,0,33.0
MCTS20,L,4,1,0.027369999,0,51.0
MCTS0_50,L,4,1,0.1477711,0,29.0
MCTS50,L,4,1,0.060055999,0,50.0
MCTS0_100,L,4,1,0.311855099,0,38.0
MCTS100,L,4,1,0.119690699,0,49.0
MCTS0_200,L,4,1,0.7846658,0,42.0
MCTS200,L,4,1,0.2441448,0,49.0
PL1,L,4,2,0.0873881,0,48.99999999999999
MCTS0_10,L,4,2,0.0227044,0,22.0
MCTS10,L,4,2,0.0136568,0,41.0
MCTS0_20,L,4,2,0.056409799,0,29.0
MCTS20,L,4,2,0.022048901,0,34.0
MCTS0_50,L,4,2,0.144743,0,28.0
MCTS50,L,4,2,0.060223601,0,38.0
MCTS0_100,L,4,2,0.386878101,0,31.0
MCTS100,L,4,2,0.117861801,0,39.0
MCTS0_200,L,4,2,0.541878301,0,35.0
MCTS200,L,4,2,0.252357899,0,36.0
PL1,L,4,3,0.0733566,0,41.0
MCTS0_10,L,4,3,0.021998101,0,15.0
MCTS10,L,4,3,0.013627401,0,37.0
MCTS0_20,L,4,3,0.044509901,0,18.0
MCTS20,L,4,3,0.027133701,0,35.0
MCTS0_50,L,4,3,0.1886263,0,32.0
MCTS50,L,4,3,0.067677599,0,34.0
MCTS0_100,L,4,3,0.3012765,0,27.0
MCTS100,L,4,3,0.121912699,0,34.0
MCTS0_200,L,4,3,0.743355799,0,30.0
MCTS200,L,4,3,0.2593417,0,36.0
PL1,L,4,4,0.064995901,0,46.0
MCTS0_10,L,4,4,0.021048799,0,26.0
MCTS10,L,4,4,0.0150013,0,33.0
MCTS0_20,L,4,4,0.0516474,0,24.0
MCTS20,L,4,4,0.024628901,0,37.0
MCTS0_50,L,4,4,0.169945801,0,28.0
MCTS50,L,4,4,0.066997901,0,42.0
MCTS0_100,L,4,4,0.308850401,0,29.0
MCTS100,L,4,4,0.1243053,0,41.0
MCTS0_200,L,4,4,0.719945099,0,31.0
MCTS200,L,4,4,0.2383678,0,38.0
PL1,L,4,5,0.0372491,0,42.0
MCTS0_10,L,4,5,0.033342899,0,23.0
MCTS10,L,4,5,0.0272837,0,28.0
MCTS0_20,L,4,5,0.0502112,0,26.0
